tid,trening per uke,alder,klasse,løpsted
0:40:16,2,45,herre,Oslo
0:46:25,8,19,dame,Tromsø
0:35:21,5,48,herre,Tromsø
0:52:34,5,65,herre,Tromsø
0:45:58,5,28,dame,Bergen
0:44:18,3,34,dame,Oslo
0:34:01,9,29,dame,Tromsø
0:35:53,1,18,herre,Bergen
0:39:34,3,36,dame,Tromsø
0:27:06,3,28,herre,Kristiansand
0:49:27,2,22,dame,Oslo
0:33:37,12,27,dame,Bergen
0:47:50,1,43,dame,Grimstad
0:40:38,2,51,herre,Grimstad
0:34:59,5,44,herre,Tromsø
0:46:58,1,42,herre,Kristiansand
0:51:06,3,18,dame,Grimstad
0:36:01,6,33,dame,Oslo
0:50:33,3,58,dame,Kristiansand
0:40:30,5,31,herre,Grimstad
0:36:23,10,29,dame,Grimstad
0:46:58,13,63,herre,Bergen
0:39:36,4,39,dame,Oslo
0:46:47,4,21,dame,Kristiansand
0:40:52,2,29,herre,Grimstad
0:37:31,3,41,herre,Bergen
0:44:09,4,23,herre,Bergen
0:41:20,15,52,herre,Tromsø
0:45:00,3,68,herre,Oslo
0:33:43,8,50,herre,Kristiansand
0:44:21,5,19,dame,Tromsø
0:45:01,6,20,dame,Oslo
0:56:04,2,56,dame,Grimstad
0:37:17,1,26,herre,Grimstad
0:42:36,3,22,dame,Kristiansand
0:46:45,2,58,dame,Oslo
0:41:57,3,40,herre,Bergen
0:38:44,4,32,herre,Oslo
0:45:22,2,31,herre,Tromsø
0:20:11,13,49,herre,Bergen
0:36:24,3,30,herre,Bergen
0:33:40,4,24,herre,Tromsø
0:38:39,3,29,herre,Grimstad
0:43:36,3,33,dame,Oslo
0:48:11,6,64,herre,Oslo
0:20:00,9,44,herre,Oslo
0:32:24,3,32,herre,Kristiansand
0:41:27,4,59,dame,Grimstad
0:49:55,3,58,dame,Oslo
0:36:39,1,58,herre,Oslo
0:29:44,10,26,herre,Grimstad
0:37:10,5,25,herre,Tromsø
0:46:14,8,64,dame,Grimstad
0:48:56,2,51,herre,Grimstad
0:41:56,5,34,herre,Bergen
0:37:10,3,43,herre,Grimstad
0:34:08,3,31,dame,Grimstad
0:39:18,11,18,dame,Kristiansand
0:43:45,4,37,herre,Oslo
0:29:52,9,50,herre,Tromsø
0:34:10,2,19,herre,Tromsø
0:42:55,3,31,herre,Kristiansand
0:40:10,3,35,dame,Bergen
0:42:44,3,26,herre,Oslo
0:37:07,11,39,herre,Tromsø
0:23:46,11,40,herre,Grimstad
0:36:39,2,30,herre,Bergen
0:38:28,4,20,dame,Bergen
0:30:25,6,25,herre,Tromsø
0:46:55,11,63,dame,Kristiansand
0:50:08,3,46,dame,Tromsø
0:55:29,1,57,herre,Oslo
0:53:57,4,73,herre,Oslo
0:38:08,5,46,herre,Oslo
0:43:39,3,46,dame,Bergen
0:27:47,4,30,herre,Grimstad
0:46:00,1,41,herre,Grimstad
0:36:36,10,32,herre,Tromsø
0:23:17,10,37,herre,Kristiansand
0:33:39,5,53,herre,Grimstad
0:45:51,5,26,dame,Bergen
0:47:58,8,52,dame,Tromsø
0:27:23,8,23,herre,Bergen
0:38:31,4,19,dame,Oslo
0:42:10,5,23,herre,Tromsø
0:48:17,10,50,dame,Grimstad
0:38:39,4,46,dame,Kristiansand
0:38:24,5,26,dame,Grimstad
0:40:33,6,18,dame,Tromsø
0:43:12,2,33,dame,Bergen
0:31:01,6,36,herre,Bergen
0:37:17,2,37,herre,Bergen
0:30:15,12,45,herre,Kristiansand
0:58:53,1,52,dame,Bergen
0:42:06,5,50,herre,Grimstad
0:38:03,3,26,dame,Tromsø
0:30:00,4,35,herre,Oslo
0:50:57,1,26,dame,Kristiansand
0:48:53,3,50,dame,Bergen
0:44:47,3,30,dame,Grimstad
0:33:45,1,40,herre,Tromsø
0:43:21,5,30,herre,Bergen
0:37:36,8,30,dame,Oslo
0:41:13,6,44,dame,Kristiansand
0:30:21,7,44,dame,Bergen
0:34:14,3,28,herre,Oslo
0:37:10,6,22,dame,Tromsø
0:37:46,4,41,dame,Kristiansand
0:55:50,1,58,dame,Tromsø
0:39:29,2,24,herre,Kristiansand
0:42:51,4,30,herre,Bergen
0:41:03,1,30,herre,Kristiansand
0:35:28,9,36,herre,Grimstad
0:37:18,3,35,herre,Tromsø
0:46:07,3,31,dame,Oslo
0:48:01,4,48,herre,Tromsø
0:45:57,7,46,dame,Kristiansand
0:27:53,8,42,herre,Oslo
0:42:48,3,37,dame,Bergen
0:31:46,4,22,herre,Grimstad
0:36:34,10,32,dame,Tromsø
0:47:43,1,27,herre,Oslo
