ProductID,FatContent,Visibility,StoreType,SizeStore,MRP,Sales
FDA15,Low Fat,0.016047301,Supermarket Type1,Medium,249.8092,3735.138
DRC01,Regular,0.019278216,Supermarket Type2,Medium,48.2692,443.4228
FDN15,Low Fat,0.016760075,Supermarket Type1,Medium,141.618,2097.27
FDX07,Regular,-99.0,Grocery Store,,182.095,732.38
NCD19,Low Fat,-99.0,Supermarket Type1,High,53.8614,994.7052
FDP36,Regular,-99.0,Supermarket Type2,Medium,51.4008,556.6088
FDO10,Regular,0.012741089,Supermarket Type1,High,57.6588,343.5528
FDP10,Low Fat,0.127469857,Supermarket Type3,Medium,107.7622,4022.7636
FDH17,Regular,0.016687114,Supermarket Type1,,96.9726,1076.5986
FDU28,Regular,0.09444959,Supermarket Type1,,187.8214,4710.535
FDY07,Low Fat,-99.0,Supermarket Type1,Medium,45.5402,1516.0266
FDA03,Regular,0.045463773,Supermarket Type1,Small,144.1102,2187.153
FDX32,Regular,0.1000135,Supermarket Type1,Medium,145.4786,1589.2646
FDS46,Regular,0.047257328,Supermarket Type1,Small,119.6782,2145.2076
FDF32,Low Fat,0.06802430000000001,Supermarket Type1,High,196.4426,1977.426
FDP49,Regular,0.06908896099999999,Supermarket Type1,Small,56.3614,1547.3192
NCB42,Low Fat,0.008596051,Supermarket Type2,Medium,115.3492,1621.8888
FDP49,Regular,0.06919637599999999,Supermarket Type1,Medium,54.3614,718.3982
DRI11,Low Fat,0.034237682,Supermarket Type3,Medium,113.2834,2303.668
FDU02,Low Fat,0.10249212,Supermarket Type1,Small,230.5352,2748.4224
FDN22,Regular,0.138190277,Supermarket Type1,High,250.8724,3775.086
FDW12,Regular,0.035399923,Supermarket Type3,Medium,144.5444,4064.0432
NCB30,Low Fat,0.025698134,Supermarket Type1,Small,196.5084,1587.2672
FDC37,Low Fat,0.057556998,Grocery Store,Small,107.6938,214.3876
FDR28,Regular,0.025896485,Supermarket Type1,Small,165.021,4078.025
NCD06,Low Fat,0.099887103,Supermarket Type1,,45.90600000000001,838.908
FDV10,Regular,0.06669343700000001,Supermarket Type1,Small,42.3112,1065.28
DRJ59,low fat,0.019356132,Supermarket Type1,High,39.1164,308.9312
FDE51,Regular,0.161466534,Grocery Store,,45.5086,178.4344
FDC14,Regular,0.072221801,Grocery Store,Small,43.6454,125.8362
FDV38,Low Fat,0.170348551,Grocery Store,,55.7956,163.7868
NCS17,Low Fat,0.080829372,Supermarket Type2,Medium,96.4436,2741.7644
